,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
R without delivery,0.012797670588404251,0.0033242346839986074,0.0033564687324965066,0.00273483265796315,0.011606510831200111,0.002796974454424717,0.06275186047129216,0.001126649142572333,0.00034592296555842025,0.012642066011070261,0.00276795233709623,0.002622066557458731,0.012076484546468619,0.11293468267266533,0.045235683664144134,0.0007140491842603284,0.00273483265796315,0.012625993112625756,0.00315894407317281,0.0026961320469795877,0.004841532186353872,0.0036186376460159977,0.0027104323841439684,0.003347376027390463,0.012346253115323775,0.01578737358566584,0.046938557787816075,0.012890263361088863,0.015156802093538445,0.002803320083402066,0.0038742206759487265,0.013600884636656726,0.011794438234169657,0.04377085846897869,0.0055325481736369945,0.013202197991631234,0.04760431943546325,0.04869714055255274,0.0035467880542548362,0.0036495776735901843,0.0010547609179650816,0.0026630992678565164,0.012536613876866474,0.05920070641435103,0.04617436568193426,312.2394765249046,0.0028392263953701375,0.016232495311301637,0.002996737948518935,0.003041495381942359,0.0012972881996133946,0.04603275595441596,0.05176961353692375,0.04538050727441924,0.012086619334733236,0.013272743066644435,0.002656901776589578,0.002765506540886575,0.011794760873212299,0.013310668017770875,0.11385391185780638,0.044516482534421475,0.013168762411165342,0.012611674907249178,0.046522121364140766,0.003174762372070173,0.011767375531649565,0.04755673512464763,0.002573003281813722,0.04590156871283732,0.0899869217538527,0.002862252802663597,0.003577262769784466,0.0020051799116153806,0.012533598080362003,0.002669850400932963,0.047548717083641306,0.003624637327048992,0.01157358478579094,0.0031571415311563936,0.0013754482075544758,0.014771898467082776,0.01240297335398422,0.0026494379032732194,0.011691993834886756,0.011703849890756521,0.00273483265796315,0.003587132273499498,0.004668805946734004,0.012673290898532042,0.0030085002680553742,0.09474851986913486,0.0007568824799166912,0.012322291221738755,0.013092954321604608,0.045667325284477873,0.002862252802663597,0.04684654819732796,0.09273838639881385,0.011811248378345773,0.0006915903056524454,0.0038258843434137994,0.01704066010993207,0.00277796033241148,0.046574311697717724,0.046103480711852725,0.0027880075058451226,0.004047671267028174,0.0035091197247809113,0.012614516606300604,0.0005335634921921575,0.04990123171043152,0.002436074395103107,0.012575240757356205,0.011311829008447192,0.047242804212990444,0.04733672447567748,0.013114702051613372,0.013026277137305428,0.043940408904387315,0.003598852654805918,0.0507813143444043,0.04700231643841421,0.0028551671855210838,0.002862252802663597,0.002734003729658649,0.002642732432955664,0.053698527466054066,0.012752412258135412,0.0027104323841439684,0.04827572760862436,0.004601807591423629,0.0038770846915601835,0.012236783159767277,0.0027681937117126645,0.012247946691702143,0.003107757928421518,0.011737458834822757,0.11738549867299054,0.0026149508061338394,0.012327442015239802,0.011354676879566887,0.01291429199553326,0.014651060294503365,0.0028635809669395893,0.0026883288355772357,0.003772483869828985,0.044597226365403544,0.048761983439859095,0.002862252802663597,0.0026113809690273292,0.004043819043006831,0.0028183719343621095,0.0027539015256214158,0.01945543520328058,0.047532345601066256,0.0027475589362307776,0.0026961312956336188,0.04615471584666633,0.0001408307436873527,0.04765230334188852,0.04997558521659816,0.00105453856849872,0.024788829055235523,0.04818125551150389,0.00105453856849872,0.002979280944469844,0.04434823689077511,0.002595501544129837,0.012619521893943822,0.09378292998505937,0.0031370507143021397,0.0004915499679218306,0.04473165563318504,0.013860988903357716,0.055828702253273944,0.01169846602846498,0.01285958424881456,0.0037340142905018265,0.002827095107988681,0.00105453856849872,0.003998803424923415,0.00035702672666110605,0.056799405854209964,0.04659795330991171,0.04733991510304978,0.002965852157991864,0.04688507768786692,0.012579165954762715,0.0027725862910235257,0.09281908497004426,0.0025834442685441117,0.012640541277182433,0.046183648536300005,0.0033073157970992285,0.047043473216601184,0.00011357978304562536,0.011581583549687635,0.011574756628180834,0.0028919681003731898,0.0004572141204868957,0.012505838539310258,0.012925384404157384,0.0028067067228498225,0.0026811475192121625,0.003249110605500836,0.0010551159343723162,0.01577335473464134,0.012178304387528684,0.011854672513101717,0.04508563032200086,0.012414154711746185,0.003118846333205481,0.0027795963463020106,0.16576943948063375,0.044950618051462055,0.012081924354330958,0.0029064391559725706,0.012163838086323356,0.01480727337874462,0.002828215799163603,0.0013570191368550764,0.003074387558214394,0.012741793366948539,0.050561894900127975,0.0038707821686354907,0.12507262225686103,0.0013570191309628585,0.012162296346889393,0.012461554613806998,0.08630724601057223,0.0028695481571430976,0.12691431750728963,0.012753568842287734,0.012132695348370831,0.011687542333683886,0.0125899355368131,0.0040195069963476675,0.04922109581099339,0.01220643729617885,0.0028660214168273078,0.003916208753757918,0.04904631251996819,0.04420830298857159,0.014939926128732687,0.0033007821613036045,0.0027104323841439684,0.05670597026184397,0.1195159838067967,0.0018041752974189498,0.0027794788257746376,0.01217301165857249,0.0013571047310925,0.048332248450293894,0.00021427490777371522,0.002549078474022356,0.011774852427400081,0.012092207095246157,0.003804252642776688,0.0007257849231421177,0.0010338266058849362,0.011916205946289442,0.01201025032696121,0.002866687443153481,0.0009114766148961771,0.01799726615159061,0.04760045195714596,0.047189151771724676,0.09029043235487251,0.012346929210308591,0.0009469588575055512,0.053865853900085234,0.003343662936820226,0.0027066405395672877,0.00015803529960040416,0.0013622213432873136,0.015172301919017204,0.054512500886744995,0.0466288616522613,0.01859411957563461,0.01244932702003693,0.046163016587189895,0.003992416614749701,0.012507666601908548,0.0026343716695781598,0.012906985409236925,0.0010351372219162516,0.012267212908452393,0.0013570163171020293,0.0040325652440854655,312.2394765249046,0.014173229426989918,0.012727245803543133,773.6678872166085,0.012475096518956098,0.002796922961368444,0.005181727076041781,0.0025468756098894684,0.0031664970799813188,0.0037597648833087665,0.0027098701497598244,0.0027344034749554593,0.004935616289022854,0.012036998721887512,0.25551359428628256,0.013060577039201812,0.011538676044230612,0.0033977848506944798,0.0010318235014006264,0.01794665181883897,0.01253396669580429,0.010401710283950408,0.0028535950055686276,0.012624209331372862,0.04734924026581536,0.01243167494213511,0.04650386529572026,0.003410796595545857,0.0029299712228393724,0.012747629030576212,0.043711974508682305,0.0027906123756612985,0.01248599870773002,0.0027681937117126645,0.0033564687324965066,0.0027192844739855394,0.002827512319229674,0.0027991311577096178,0.04426204697319838,0.005533138348152502,0.04656521658602407,0.002785244017858223,0.012309103439157256,0.012264607395107568,0.002744750250319803,0.01281849839069029,0.0009334360866028523,0.002616744826833215,0.002866687443153481,0.01235870242869994,0.002884097312722961,0.00015263913515030212,0.012721927985949065,0.004008363930977475,0.0026253292412829737,0.012317221492860296,0.012328218735791763,0.046228196330262185,0.003000894344855096,0.046467940378081996,0.011702639401112684,0.0025943964760665908,5.532005530375718e-05,0.011671205553592573,0.0027104323841439684,0.002097658492768095,0.047174479583375915,0.04772933230750556,0.0032541189701463993,0.04707245312663141,0.11710088047039144,0.011983946705354324,0.006132901555962181,0.0035380457761907563,0.0010547609179650816,0.013512547845550515,0.016393312146250158,0.003660079625690378,0.0037103303518847453,0.01190641600657587,0.04419344415022046,0.09900418025613518,0.011573806511150189,0.04682623057130562,0.046482320165266516,0.048438351759676944,0.0017027920550762566,0.04397454189746447,0.011767055413683584,0.04837690290742006,0.0036595344602104504,0.0027104323841439684,0.049747667099627566,0.0005504741839959962,0.04376092847685048,0.002552376813819274,0.0028243112478931426,0.012289456591880427,0.002767228897690636,0.0035517202367061724,0.011787081650949605,0.012781655406182176,0.00273483265796315,0.0014619422723739686,0.0033637103645105908,0.04624810396500035,0.0027835305854271046,0.002862252802663597,0.01818885168380037,0.012841177525058823
R with only delivery,0.012567052966795712,0.003502581995457728,0.003437484571244302,0.0027970888069863233,0.009413363617734075,0.0031508930526043246,0.05984591391263506,0.001037698048733944,0.0003335501670598087,0.008059009598865937,0.003872290272860659,0.002453298553712717,0.0104252428038503,0.11398825312860773,0.04735884749452903,0.0006677847856112716,0.0027970888069863233,0.015965720096522328,0.0029454959511794675,0.0031092794348711187,0.0049994788648375045,0.004785021903198872,0.0027357180750865857,0.004040766939781398,0.015500638396431073,0.017092140296093572,0.05106062666713726,0.010079414382992456,0.013493241421267503,0.003972741294974593,0.0036919859435190867,0.012651495179819528,0.009322916104520079,0.03582828993977191,0.0045020179031745895,0.015193574285637551,0.057614361871688266,0.03286903784658253,0.0032007895714510357,0.003655428938421233,0.0010244454499494717,0.003209942317810742,0.015611469303903166,0.05165407201112642,0.057972967900834234,312.2394765249046,0.0038810562147790382,0.015814038641657202,0.0030853995424140906,0.002867960575041126,0.0012972881996133946,0.05935085266738754,0.053661847404362924,0.05145047726289389,0.014465827715002497,0.015269161147487047,0.003313494520051213,0.0034893409404792206,0.009542791413595212,0.013635258171537636,0.14938481505528348,0.03834690236679876,0.018877778476961836,0.013208601376710887,0.059337270363963295,0.00268851688486216,0.00944209602788224,0.04841143453859837,0.0020535080695539246,0.04174498109652411,0.09168226605367191,0.0031572612319562686,0.004545411213068161,0.0023871899931594918,0.015159430621940409,0.00321709532438638,0.04840018936893918,0.0038717531895179134,0.0093261783187343,0.0033058415960116466,0.0014072819099579497,0.011107339518601423,0.00893981328474546,0.0025220264977375024,0.009511770337512925,0.009265942044176202,0.0027970888069863233,0.0037511064262007996,0.004369353594769184,0.012901795677881684,0.004014569583996913,0.1172004653922066,0.0007797691689238757,0.01568531928294451,0.012857315245338185,0.040531901492157574,0.0031572612319562686,0.05813629454110813,0.1265309527582954,0.009908710710016554,0.0006949650618818595,0.0040526127507839755,0.016757927528775505,0.003573608479362549,0.06465303293722532,0.041920518216812155,0.0025685953455740675,0.004919680471307137,0.003685056258433102,0.01787667164054224,0.0005838465483487429,0.06347207638901502,0.0020859777657290073,0.017869531524088846,0.010388515194485836,0.04756828284657992,0.05475745161953728,0.013148876936125908,0.01535732622422611,0.03556928477816572,0.00418288864865794,0.040679491594157215,0.059181619712593815,0.001883290073999525,0.0031572612319562686,0.0034444856760337153,0.002438397092715084,0.05066696039127346,0.008046912919186711,0.0027357180750865857,0.06748441359354462,0.0037938286947350386,0.004061798996704512,0.009225163424875485,0.0038642559850976033,0.011941761964998762,0.00287809745422089,0.009456290606230483,0.15928978595070317,0.0020605337960940702,0.008788107218047585,0.010586179789029837,0.014720144282235796,0.010801936902301879,0.003121301330224643,0.0032524738475684313,0.0036992979674884516,0.03903931392067625,0.06961022293586802,0.0031572612319562686,0.0021042350768464358,0.004908521810842005,0.0028516498818310513,0.0026304321217387,0.011591352658832349,0.03010331584874665,0.0024337419192139924,0.0022959160206231254,0.05998452255126236,0.00014695248504328727,0.048508728855085,0.0602827056327686,0.0010242646015455948,0.008449859826382177,0.053147230737930526,0.0010242646015455948,0.0030210534369323546,0.0354493467542822,0.0027195630701034174,0.012918609827374547,0.12970197116724427,0.0036862158959912617,0.00046290543136658465,0.05879561325875992,0.013859828029880462,0.04863871141762944,0.009516021118890789,0.012962203333792655,0.0037286881858091332,0.003161007368590119,0.0010242646015455948,0.004172743640593966,0.00040945716134319304,0.04978916636434762,0.0627471201178592,0.0642899189269963,0.002775942712461807,0.05671459905720164,0.016186515200520463,0.0027492861836834978,0.11913866067264782,0.002509500623950951,0.008050968090703981,0.04010691016657611,0.003194341097730138,0.05847533217616493,0.00011612581400688161,0.009536090165864692,0.009326929577215108,0.003959597844728111,0.00047702102295833846,0.01570511778554292,0.01621915569758454,0.003015952033611374,0.002244203263263078,0.003084458400933255,0.0010257750643236328,0.01635899360818188,0.015990421682881884,0.00997917781198165,0.06181196093942568,0.01573037723729323,0.003146055815818799,0.0026463165460391532,0.15927762390597489,0.03805503646592591,0.010024683541849497,0.0021192671101060412,0.011162882258208677,0.012473674123405281,0.0033699700267516295,0.0012054597160574046,0.0033571986505741168,0.012575965212257118,0.06152428716868161,0.0037779782207400694,0.13445972867760178,0.0012054597027523304,0.01585839025146978,0.016510897365278165,0.07000006277433055,0.001902328376722951,0.12479634457878971,0.012576773545167032,0.010778974677954882,0.009507538374278774,0.011498106474405871,0.0035175811700114148,0.0696382895918273,0.009422602884315923,0.0030208374389310614,0.0039005423140215274,0.042308477698677426,0.03495360060235157,0.015246496230215907,0.003601737567283171,0.0027357180750865857,0.050172029769031894,0.12119244782822775,0.002497115841069182,0.002246240333458178,0.010390274098266674,0.0012055345081654764,0.06912036715138227,0.0002247903649803389,0.0022936579687744593,0.009371919156270371,0.010907595527468264,0.0035990155918753544,0.0006628952692109068,0.0010370948798114215,0.01042983540234651,0.010496730033147394,0.003917436991178296,0.0010241262794943658,0.022058886916155703,0.05928250245567203,0.0668672553020388,0.10235808957448574,0.015499355828157027,0.0009693041172105143,0.05937754348794451,0.0039410070030587415,0.002370769594135823,0.00013292364605504707,0.0011771656252225057,0.015299847953229377,0.05514950546513573,0.044114636388014335,0.01892958017921011,0.015406959611939367,0.05795988751290779,0.0033607248120374107,0.015334664468893934,0.0022175950693292556,0.013138429979540692,0.001054042778524449,0.01639015084850321,0.0012054577683460925,0.004775488346700784,312.2394765249046,0.013329592684085487,0.01580366996174592,773.6678872166085,0.015882599654097586,0.003498631807100291,0.005498817799132786,0.0025145915035628442,0.003137142219509511,0.0035485435155355512,0.002438934290268662,0.0019850181975167337,0.003383646649207179,0.009933544856323423,2020.0,0.009052489993056625,0.010222908045578476,0.0035651717092148676,0.0010811323675054463,0.010723565176767563,0.015160131845142848,120.0,0.0034485992799335105,0.013724246009668872,0.03217742085871027,0.011776708451474027,0.055719509084140105,0.003428857802628847,0.004148801917469314,0.011756825683139339,0.03556062613004499,0.003579174869219827,0.011753096012959503,0.0038642559850976033,0.003437484571244302,0.0020500354493220145,0.0018706520566125137,0.003936800504341913,0.03619486516331499,0.0046675729905119,0.03188841946057716,0.003368762360431202,0.011146955236184924,0.01043889947502249,0.002492979014617211,0.017947708853530912,0.0011089578306465746,0.002618428635473517,0.003917436991178296,0.015896839277988913,0.00292997001367452,0.0001431950742985929,0.014224533158655536,0.0061219408715721966,0.002130439846881605,0.017190650322089177,0.008788744070303764,0.05810983802211121,0.0032263595368027245,0.055320646604938836,0.009578900159634375,0.002160491514479797,5.828769749504801e-05,0.00949106596092414,0.0027357180750865857,0.0017407258415252087,0.0609394940936962,0.06279180444199513,0.0030636818478472164,0.04581413050493896,0.1462781599985409,0.014444740430148338,0.005391677127966936,0.003435636522486781,0.0010244454499494717,0.01400717996462975,0.016648221102796134,0.003581829067038937,0.00424966797422387,0.010446998606040743,0.05564751959505563,0.12800849590374763,0.009326400307173825,0.05866762169882809,0.033224487849951766,0.07061396196134671,0.0020143289348213585,0.03502166720188243,0.009351816083204331,0.06918212454624406,0.003506860749777351,0.0027357180750865857,0.055757658264745,0.0005677777096545726,0.03559696788918407,0.0024973575304247844,0.0034456736406521414,0.015851208374355275,0.003575369447909787,0.003407926101190693,0.0095810798222559,0.015498151434879107,0.0027970888069863233,0.0014908247866779157,0.0029000917015643635,0.061050971968041004,0.002682042653110014,0.0031572612319562686,0.025994095189115853,0.015518696759700797
Demand without delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand with only delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
